ID;Host.Since;Neighbourhood.Group.Cleansed;City;Latitude;Longitude;Zipcode;Property.Type;Room.Type;Accommodates;Bathrooms;Bedrooms;Beds;Number.of.Reviews;Review.Scores.Rating;Reviews.per.Month;Cancellation.Policy;precio.total;Prom.Price.m2.2017;Wireless Internet;Kitchen;Heating;Essentials;Washer;TV;Elevator in building;Family/kid friendly;Iron;Hair dryer;Air conditioning;Laptop friendly workspace;Smoke detector;Wheelchair accessible;Lock on bedroom door;Free parking on premises
14228441;20/02/2015;Centro;Madrid;"40,41791005";"-3,711598757";28013;Apartment;Entire home/apt;6;3;3;6;7;94;1;strict;860;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
9645958;25/11/2015;Centro;Madrid;"40,42274181";"-3,701793993";28004;Apartment;Entire home/apt;16;"4,5";7;9;16;76;"1,2";strict;859;3564;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
7714685;05/03/2014;Chamberí;Madrid;"40,43017936";"-3,701314119";28004;Apartment;Entire home/apt;3;"1,5";1;1;8;91;"0,5";flexible;853;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
5438198;20/02/2015;Chamberí;Madrid;"40,42952496";"-3,702320465";28004;Apartment;Entire home/apt;6;"2,5";3;5;26;96;"1,09";strict;850;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
970485;03/03/2013;Retiro;Madrid;"40,41825685";"-3,690208281";28001;Apartment;Entire home/apt;16;5;5;13;43;98;"0,88";strict;850;3404;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
2673648;30/03/2014;Chamberí;Madrid;"40,4400298";"-3,698490555";28003;Apartment;Entire home/apt;4;1;1;2;23;93;"0,65";flexible;845;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
9768066;02/12/2015;Salamanca;Madrid;"40,43109154";"-3,683228827";28006;Apartment;Entire home/apt;7;"3,5";4;7;14;90;"1,04";strict;845;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
6433495;05/05/2015;Hortaleza;Madrid;"40,45224569";"-3,606541351";28042;House;Entire home/apt;8;"3,5";4;4;2;100;"0,1";moderate;844;2563;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
17040490;01/04/2016;Retiro;Madrid;"40,41893965";"-3,670362411";28009;Apartment;Entire home/apt;6;2;3;6;2;"91,60293384";2;strict;829;3404;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
522639;01/08/2011;Centro;Madrid;"40,4209395";"-3,699853465";28004;Apartment;Entire home/apt;3;1;1;2;9;90;"0,17";strict;825;3564;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
